wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,40622,36.42862024,37.86876391,0.44601017,0.33572980,0.98772327,raw_reference
1,40625,36.31077680,37.73412911,0.48163059,0.41183795,1.03863540,raw_reference
2,40581,36.28090132,37.67259034,0.48744455,0.52833814,1.17467425,raw_reference
3,40600,36.36644835,37.74863806,0.52501929,0.62356999,1.11668160,raw_reference
0,40622,36.42862117,37.87097821,0.43964839,0.30378305,0.98716077,phase_corrected
1,40625,36.31079041,37.74279166,0.46493320,0.31752925,1.01801749,phase_corrected
2,40581,36.28093466,37.69050461,0.44613006,0.32465918,1.08489662,phase_corrected
3,40600,36.36646763,37.75535841,0.48737230,0.47964281,1.09906137,phase_corrected
0,40622,36.46532646,37.87241602,2.00745981,0.85281717,1.49811310,reference_compensation_on
1,40625,36.31606900,37.73050362,1.96620429,0.63103547,1.51332420,reference_compensation_on
2,40581,36.28744799,37.67981978,1.99970011,0.72275224,1.46054722,reference_compensation_on
3,40600,36.38129662,37.75952709,2.05104718,0.90351394,1.51241830,reference_compensation_on
0,40622,36.39176894,37.77950672,1.92435432,0.86486329,1.42074570,reference_plus_or_diagnostic
1,40625,36.30542164,37.71238660,1.94981633,0.62583043,1.39649964,reference_plus_or_diagnostic
2,40581,36.27390724,37.65091867,1.91751413,0.72036673,1.50273586,reference_plus_or_diagnostic
3,40600,36.35109681,37.71238660,1.96361981,0.92648044,1.56143512,reference_plus_or_diagnostic
