phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00010674,0.01067375,0.99875168,-0.12483193,1.00268667,0.26866671,0.99817216,-0.18278376
1,0.99875151,-0.12484935,0.99824347,-0.17565298,1.00291621,0.29162060,0.99959206,-0.04079403
2,0.99840756,-0.15924427,0.99778705,-0.22129478,1.00246161,0.24616098,0.99825398,-0.17460150
3,0.99932231,-0.06776910,0.99823001,-0.17699907,1.00092026,0.09202593,1.00091894,0.09189357
4,0.99964194,-0.03580619,0.99832806,-0.16719402,1.00050878,0.05087765,1.00055233,0.05523315
5,0.99930565,-0.06943492,0.99854057,-0.14594291,0.99980621,-0.01937887,1.00138433,0.13843333
6,0.99911843,-0.08815693,0.99807878,-0.19212191,0.99811006,-0.18899439,1.00118953,0.11895299
7,0.99874875,-0.12512450,0.99769780,-0.23022021,0.99903300,-0.09669997,1.00274985,0.27498478
8,0.99882736,-0.11726377,0.99816166,-0.18383410,0.99744389,-0.25561060,1.00254094,0.25409444
9,0.99927835,-0.07216467,0.99907564,-0.09243632,0.99715913,-0.28408733,1.00369244,0.36924449
10,1.00028067,0.02806684,1.00029456,0.02945580,0.99801390,-0.19860984,1.00476012,0.47601183
11,1.00039095,0.03909520,1.00096280,0.09628040,0.99862410,-0.13759048,1.00607815,0.60781473
12,0.99991324,-0.00867579,1.00037863,0.03786331,1.00106787,0.10678712,1.00552611,0.55261118
13,0.99937264,-0.06273599,0.99994044,-0.00595616,1.00111684,0.11168353,1.00446361,0.44636099
14,0.99913829,-0.08617057,0.99999452,-0.00054772,1.00029759,0.02975886,1.00118938,0.11893779
15,0.99986337,-0.01366296,1.00015401,0.01540131,1.00074147,0.07414697,1.00356293,0.35629329
16,1.00136286,0.13628618,1.00134118,0.13411816,1.00099990,0.09999000,1.00362695,0.36269503
17,1.00126228,0.12622826,1.00174426,0.17442578,1.00063326,0.06332583,1.00066430,0.06643007
18,1.00087578,0.08757812,1.00143454,0.14345441,1.00001027,0.00102726,1.00133290,0.13328956
19,1.00044200,0.04420040,1.00087923,0.08792299,1.00159464,0.15946449,1.00065375,0.06537516
20,1.00083162,0.08316220,1.00158482,0.15848205,1.00148806,0.14880633,1.00083654,0.08365431
21,1.00099818,0.09981779,1.00244274,0.24427435,1.00250691,0.25069090,1.00042579,0.04257858
22,1.00066946,0.06694606,1.00303256,0.30325606,1.00198114,0.19811413,0.99948965,-0.05103499
23,0.99941052,-0.05894836,1.00261461,0.26146123,0.99985211,-0.01478918,0.99916250,-0.08375044
24,0.99895128,-0.10487246,1.00170878,0.17087791,0.99905054,-0.09494619,0.99864966,-0.13503394
25,0.99916467,-0.08353321,1.00124208,0.12420817,0.99911863,-0.08813708,0.99851188,-0.14881178
26,0.99998760,-0.00124047,1.00100124,0.10012391,1.00144744,0.14474403,0.99810614,-0.18938630
27,1.00085871,0.08587107,1.00116863,0.11686318,0.99778459,-0.22154053,0.99523476,-0.47652418
28,1.00207089,0.20708891,1.00154855,0.15485497,0.99854425,-0.14557501,0.99508373,-0.49162680
29,1.00153540,0.15354013,1.00227984,0.22798371,0.99885117,-0.11488323,0.99554584,-0.44541614
30,1.00017377,0.01737716,1.00251351,0.25135107,1.00027711,0.02771079,0.99834442,-0.16555831
31,0.99897278,-0.10272200,1.00190390,0.19038960,0.99615616,-0.38438439,0.99983200,-0.01679962
32,0.99919017,-0.08098253,1.00120799,0.12079895,0.99998620,-0.00137998,1.00065780,0.06578022
33,1.00002413,0.00241320,1.00132110,0.13210978,1.00612259,0.61225882,0.99975860,-0.02414036
34,1.00086653,0.08665320,1.00099897,0.09989732,0.99655485,-0.34451514,0.99782590,-0.21741009
35,1.00057156,0.05715569,1.00084283,0.08428290,0.99585722,-0.41427825,0.99875468,-0.12453201
36,1.00005387,0.00538665,0.99985620,-0.01438018,0.99548292,-0.45170771,1.00032701,0.03270079
37,0.99954519,-0.04548090,0.99837441,-0.16255851,0.99400281,-0.59971900,0.99956133,-0.04386747
38,0.99929043,-0.07095703,0.99825692,-0.17430785,0.99697960,-0.30203993,0.99937737,-0.06226329
39,1.00017856,0.01785644,0.99823253,-0.17674746,0.99912718,-0.08728170,0.99868677,-0.13132333
40,1.00176618,0.17661784,0.99888728,-0.11127241,1.00073159,0.07315896,0.99806142,-0.19385776
41,1.00161545,0.16154544,0.99925337,-0.07466283,0.99939135,-0.06086495,0.99792746,-0.20725408
42,1.00051531,0.05153133,0.99895486,-0.10451408,0.99947049,-0.05295070,0.99963038,-0.03696194
43,0.99942750,-0.05725001,0.99797474,-0.20252588,1.00011239,0.01123863,0.99999897,-0.00010273
44,0.99884379,-0.11562148,0.99775745,-0.22425532,1.00196632,0.19663177,0.99860679,-0.13932089
45,0.99930382,-0.06961820,0.99768102,-0.23189775,1.00421754,0.42175396,0.99697897,-0.30210317
46,1.00014043,0.01404295,0.99849012,-0.15098763,1.00445020,0.44502013,0.99550415,-0.44958502
47,1.00063151,0.06315086,0.99885005,-0.11499532,1.00434300,0.43430005,0.99821474,-0.17852635
