wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,44001,41.25209867,41.98194160,0.33338942,0.34205646,0.64769865,raw_reference
1,44164,41.03191200,41.85441851,0.29497938,0.38271612,0.73008358,raw_reference
2,43969,41.06266097,41.75872838,0.37025623,0.46643027,0.81445041,raw_reference
3,44060,41.10982113,41.82989792,0.39413117,0.53007655,1.03615740,raw_reference
0,44001,41.25207368,41.98596757,0.31940686,0.27766287,0.63027896,phase_corrected
1,44164,41.03188496,41.86683181,0.25753652,0.27351919,0.68253464,phase_corrected
2,43969,41.06267927,41.76997941,0.32339803,0.28934198,0.72985102,phase_corrected
3,44060,41.10978446,41.85034604,0.32575244,0.32026221,0.92816777,phase_corrected
0,44001,41.03044333,41.57305544,2.48249538,3.42165747,3.86351554,reference_compensation_on
1,44164,40.84216868,41.51591941,2.32314292,2.89740057,3.40823428,reference_compensation_on
2,43969,40.89738880,41.41958461,1.25272101,2.63195904,3.15000975,reference_compensation_on
3,44060,40.95145220,41.63476269,2.22365726,2.30562009,2.70704481,reference_compensation_on
0,44001,41.47111188,42.25296769,2.36224170,3.36369755,3.79747229,reference_plus_or_diagnostic
1,44164,41.22027660,42.07189648,2.21351362,2.84765792,3.36375826,reference_plus_or_diagnostic
2,43969,41.22618410,41.97745395,1.20957274,2.58634136,3.08475413,reference_plus_or_diagnostic
3,44060,41.26653206,41.95503010,2.11200238,2.29506745,2.71309410,reference_plus_or_diagnostic
