phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99966848,-0.03315247,0.99815776,-0.18422450,1.00197866,0.19786621,1.00173850,0.17384988
1,1.00022307,0.02230651,0.99802413,-0.19758654,1.00062724,0.06272374,1.00263205,0.26320508
2,0.99994200,-0.00579963,0.99826918,-0.17308177,1.00041150,0.04115012,1.00304319,0.30431930
3,0.99919827,-0.08017330,0.99780300,-0.21970038,1.00000962,0.00096155,1.00422283,0.42228284
4,0.99889822,-0.11017761,0.99730068,-0.26993173,0.99875944,-0.12405628,1.00394301,0.39430142
5,0.99919175,-0.08082480,0.99754600,-0.24540012,0.99952846,-0.04715439,1.00303969,0.30396925
6,0.99911913,-0.08808729,0.99840213,-0.15978723,0.99790139,-0.20986082,1.00042934,0.04293448
7,0.99928543,-0.07145681,0.99956895,-0.04310503,0.99736243,-0.26375666,1.00286930,0.28693014
8,0.99889122,-0.11087786,1.00067453,0.06745295,0.99777745,-0.22225488,1.00318463,0.31846331
9,0.99839213,-0.16078704,1.00057684,0.05768362,0.99792596,-0.20740420,1.00084914,0.08491388
10,0.99805299,-0.19470113,1.00023134,0.02313405,0.99985556,-0.01444351,1.00146861,0.14686124
11,0.99804610,-0.19539043,1.00011476,0.01147582,0.99990367,-0.00963290,1.00100115,0.10011483
12,0.99835866,-0.16413372,0.99996120,-0.00387952,0.99923811,-0.07618942,1.00152205,0.15220485
13,0.99861808,-0.13819195,1.00070478,0.07047841,0.99956910,-0.04308997,1.00117650,0.11764963
14,0.99892837,-0.10716279,1.00111667,0.11166716,0.99978358,-0.02164235,0.99998272,-0.00172831
15,0.99906787,-0.09321310,1.00133829,0.13382911,0.99949351,-0.05064878,0.99921618,-0.07838219
16,0.99966123,-0.03387718,1.00104893,0.10489307,0.99924206,-0.07579438,0.99820504,-0.17949606
17,1.00082989,0.08298866,1.00169142,0.16914206,1.00127143,0.12714321,0.99778253,-0.22174662
18,1.00133001,0.13300139,1.00234216,0.23421563,1.00178654,0.17865408,0.99756494,-0.24350573
19,1.00127125,0.12712531,1.00270814,0.27081428,1.00314390,0.31438951,0.99527643,-0.47235701
20,1.00081138,0.08113775,1.00246350,0.24634954,1.00284137,0.28413741,0.99489431,-0.51056861
21,1.00091595,0.09159485,1.00189043,0.18904275,1.00073564,0.07356394,0.99480631,-0.51936940
22,1.00081327,0.08132727,1.00147780,0.14777969,0.99962963,-0.03703654,0.99635596,-0.36440385
23,1.00059756,0.05975625,1.00115740,0.11574037,0.99953711,-0.04628939,0.99699833,-0.30016670
24,0.99987555,-0.01244464,1.00103425,0.10342545,1.00161221,0.16122057,0.99819844,-0.18015607
25,0.99895989,-0.10401113,1.00110203,0.11020279,0.99840960,-0.15903999,0.99836452,-0.16354821
26,0.99876034,-0.12396579,1.00182974,0.18297381,0.99888978,-0.11102161,0.99721775,-0.27822507
27,0.99929978,-0.07002241,1.00235778,0.23577835,0.99872240,-0.12776021,0.99801406,-0.19859395
28,1.00058379,0.05837904,1.00224832,0.22483155,0.99979633,-0.02036744,0.99922306,-0.07769410
29,1.00189511,0.18951124,1.00199689,0.19968921,0.99622108,-0.37789237,0.99882670,-0.11733021
30,1.00274494,0.27449357,1.00188743,0.18874303,0.99982953,-0.01704691,0.99925695,-0.07430464
31,1.00244674,0.24467426,1.00121286,0.12128579,1.00560076,0.56007557,0.99901036,-0.09896444
32,1.00130383,0.13038257,1.00094145,0.09414543,0.99752462,-0.24753783,0.99824417,-0.17558307
33,1.00056363,0.05636323,1.00007340,0.00733995,0.99669817,-0.33018284,0.99788753,-0.21124734
34,1.00016965,0.01696500,0.99864911,-0.13508935,0.99602913,-0.39708678,0.99928886,-0.07111384
35,1.00043679,0.04367888,0.99838630,-0.16136971,0.99461668,-0.53833153,1.00028758,0.02875770
36,1.00090170,0.09017048,0.99844261,-0.15573887,0.99728860,-0.27113995,1.00036486,0.03648598
37,1.00080643,0.08064328,0.99888421,-0.11157866,0.99949224,-0.05077618,0.99976973,-0.02302723
38,1.00037106,0.03710626,0.99926885,-0.07311462,1.00142508,0.14250810,0.99838140,-0.16186023
39,0.99991528,-0.00847236,0.99924719,-0.07528051,1.00046171,0.04617114,1.00035483,0.03548297
40,0.99969334,-0.03066573,0.99852522,-0.14747807,1.00042365,0.04236539,1.00008271,0.00827055
41,1.00045455,0.04545540,0.99826751,-0.17324871,1.00052436,0.05243633,1.00168752,0.16875183
42,1.00157628,0.15762819,0.99806121,-0.19387902,1.00160453,0.16045272,1.00121518,0.12151839
43,1.00146498,0.14649803,0.99856801,-0.14319885,1.00346281,0.34628114,1.00368105,0.36810466
44,1.00061794,0.06179374,0.99892910,-0.10709028,1.00382469,0.38246926,1.00263280,0.26327996
45,0.99950183,-0.04981718,0.99891359,-0.10864067,1.00397844,0.39784361,1.00245169,0.24516919
46,0.99865708,-0.13429234,0.99853566,-0.14643398,1.00256938,0.25693785,1.00135774,0.13577408
47,0.99888718,-0.11128246,0.99806724,-0.19327576,1.00268087,0.26808667,1.00199777,0.19977747
