wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,44307,41.05719108,42.00551750,0.36011959,0.31189503,0.60570474,raw_reference
1,44328,40.92644224,41.88343448,0.32103258,0.34081711,0.66432955,raw_reference
2,44288,40.85696342,41.78094283,0.39317346,0.47099638,0.74096896,raw_reference
3,44331,40.93325469,41.86445795,0.36699026,0.45165272,1.01749745,raw_reference
0,44307,41.05718771,42.00936599,0.34861280,0.26405125,0.58752503,phase_corrected
1,44328,40.92649109,41.88516431,0.30234200,0.26220801,0.64662816,phase_corrected
2,44288,40.85691725,41.79011028,0.34360278,0.27125158,0.63731621,phase_corrected
3,44331,40.93322123,41.86897609,0.32895337,0.30851173,0.91044985,phase_corrected
0,44307,40.87251522,41.67452846,2.26041943,2.59301072,2.85744516,reference_compensation_on
1,44328,40.73432759,41.51921145,2.29510430,2.79170121,3.20326015,reference_compensation_on
2,44288,40.68792773,41.51153083,2.29655274,2.64205490,3.04952751,reference_compensation_on
3,44331,40.72321604,41.49288974,2.34963356,2.72962300,3.18499126,reference_compensation_on
0,44307,41.24026620,42.20301791,2.15660790,2.55288217,2.80345001,reference_plus_or_diagnostic
1,44328,41.11652916,42.10798646,2.19348511,2.73386961,3.12695435,reference_plus_or_diagnostic
2,44288,41.02342096,41.94830761,2.18773518,2.62089564,3.00492145,reference_plus_or_diagnostic
3,44331,41.14114346,42.08091317,2.24759402,2.69592476,3.12514456,reference_plus_or_diagnostic
