wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,37437,56.43421672,64.36845687,0.24168702,0.22470074,0.35618534,raw_reference
1,37427,56.03081989,64.11622938,0.24625216,0.25805120,0.37463130,raw_reference
2,37437,56.08078522,63.96583947,0.26419084,0.32774140,0.50868257,raw_reference
3,37421,56.04967893,64.15393741,0.34790671,0.55001019,0.73302375,raw_reference
0,37437,56.43419516,64.35292104,0.23247427,0.20011244,0.35368460,phase_corrected
1,37427,56.03082276,64.11271278,0.22183535,0.16048719,0.30952371,phase_corrected
2,37437,56.08078581,63.96412347,0.23085464,0.20197734,0.39202468,phase_corrected
3,37421,56.04968532,64.15380305,0.25114773,0.23184539,0.62748525,phase_corrected
0,37437,56.21588891,64.06602090,2.32592210,2.24872104,2.55014881,reference_compensation_on
1,37427,55.79016795,63.77884131,2.36910049,2.61647228,2.94591794,reference_compensation_on
2,37437,55.87584430,63.67955531,2.29170435,2.09423523,2.59973385,reference_compensation_on
3,37421,55.82702647,63.87220352,2.33431922,2.18970527,2.64440933,reference_compensation_on
0,37437,56.64969557,64.53983527,2.13995181,2.21506184,2.52542107,reference_plus_or_diagnostic
1,37427,56.26859209,64.30521414,2.25839200,2.57311784,2.89945672,reference_plus_or_diagnostic
2,37437,56.28260936,64.11151899,2.16444930,2.06461016,2.56450408,reference_plus_or_diagnostic
3,37421,56.26869629,64.34947100,2.21852838,2.14452688,2.52638891,reference_plus_or_diagnostic
