phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00121642,0.12164165,1.00141429,0.14142883,1.00102808,0.10280777,0.99985057,-0.01494311
1,1.00056095,0.05609468,1.00153384,0.15338442,1.00020410,0.02041029,0.99931931,-0.06806887
2,0.99982447,-0.01755321,1.00143048,0.14304833,0.99887601,-0.11239926,0.99878490,-0.12151041
3,0.99937468,-0.06253230,1.00125388,0.12538786,0.99892444,-0.10755595,0.99710681,-0.28931855
4,0.99941513,-0.05848661,1.00062544,0.06254356,0.99805304,-0.19469609,0.99639638,-0.36036170
5,0.99958429,-0.04157100,0.99994899,-0.00510105,0.99796839,-0.20316057,0.99579780,-0.42022048
6,1.00000541,0.00054090,0.99937440,-0.06256008,0.99832647,-0.16735345,0.99642874,-0.35712574
7,1.00033160,0.03316010,0.99904713,-0.09528691,0.99847908,-0.15209249,0.99712146,-0.28785366
8,1.00037950,0.03794970,0.99880317,-0.11968316,0.99966991,-0.03300862,0.99829473,-0.17052697
9,1.00029206,0.02920607,0.99879869,-0.12013068,1.00008061,0.00806081,0.99909429,-0.09057078
10,1.00011044,0.01104445,0.99844641,-0.15535861,1.00022834,0.02283362,0.99913345,-0.08665450
11,0.99988998,-0.01100205,0.99824294,-0.17570554,1.00095598,0.09559784,1.00011443,0.01144310
12,0.99957348,-0.04265231,0.99802766,-0.19723405,1.00135059,0.13505883,1.00106751,0.10675115
13,0.99906433,-0.09356672,0.99787690,-0.21231014,1.00089228,0.08922844,1.00074749,0.07474925
14,0.99873121,-0.12687924,0.99812054,-0.18794648,1.00007263,0.00726296,1.00071013,0.07101288
15,0.99870622,-0.12937833,0.99847216,-0.15278362,1.00047783,0.04778309,1.00028250,0.02824968
16,0.99853773,-0.14622697,0.99859448,-0.14055190,1.00040953,0.04095318,0.99953441,-0.04655939
17,0.99890353,-0.10964726,0.99856685,-0.14331542,1.00139547,0.13954742,0.99877797,-0.12220339
18,0.99920733,-0.07926651,0.99845153,-0.15484689,1.00160229,0.16022948,0.99907475,-0.09252516
19,0.99945073,-0.05492654,0.99865585,-0.13441459,1.00068107,0.06810674,0.99922365,-0.07763548
20,0.99963590,-0.03640967,0.99879802,-0.12019837,0.99997699,-0.00230095,0.99897253,-0.10274661
21,0.99981730,-0.01826996,0.99888121,-0.11187888,0.99963931,-0.03606916,0.99848664,-0.15133611
22,0.99979020,-0.02098022,0.99863692,-0.13630777,1.00094341,0.09434072,0.99769464,-0.23053562
23,0.99947059,-0.05294111,0.99861229,-0.13877050,0.99929332,-0.07066772,0.99894615,-0.10538452
24,0.99927063,-0.07293696,0.99871353,-0.12864665,0.99970077,-0.02992346,0.99868546,-0.13145441
25,0.99892023,-0.10797719,0.99907955,-0.09204529,0.99951301,-0.04869898,0.99947978,-0.05202213
26,0.99892530,-0.10747009,0.99937974,-0.06202595,0.99995295,-0.00470503,0.99906032,-0.09396796
27,0.99941663,-0.05833728,0.99971712,-0.02828768,0.99743317,-0.25668268,1.00073987,0.07398682
28,0.99976549,-0.02345060,0.99985331,-0.01466852,0.99952377,-0.04762319,1.00069675,0.06967499
29,1.00029500,0.02949963,1.00021446,0.02144629,1.00337397,0.33739745,1.00104226,0.10422574
30,1.00074007,0.07400737,1.00044057,0.04405745,0.99912859,-0.08714101,1.00064120,0.06412040
31,1.00138414,0.13841359,1.00078177,0.07817655,0.99912872,-0.08712767,1.00106084,0.10608366
32,1.00183048,0.18304789,1.00115435,0.11543507,0.99864013,-0.13598725,1.00077549,0.07754893
33,1.00199338,0.19933831,1.00147884,0.14788433,0.99720055,-0.27994506,1.00128621,0.12862123
34,1.00150966,0.15096607,1.00108014,0.10801428,0.99768608,-0.23139213,1.00180941,0.18094131
35,1.00069711,0.06971103,1.00174408,0.17440837,0.99808896,-0.19110401,1.00292332,0.29233175
36,0.99992087,-0.00791334,1.00223286,0.22328601,0.99894591,-0.10540867,1.00321297,0.32129749
37,0.99925928,-0.07407170,1.00223274,0.22327357,0.99875934,-0.12406575,1.00298405,0.29840535
38,0.99902053,-0.09794666,1.00192945,0.19294467,0.99926247,-0.07375270,1.00149117,0.14911669
39,0.99903087,-0.09691329,1.00190642,0.19064228,0.99978502,-0.02149753,1.00269197,0.26919659
40,0.99928086,-0.07191364,1.00183151,0.18315095,1.00060370,0.06036992,1.00281912,0.28191244
41,0.99979923,-0.02007735,1.00134227,0.13422697,1.00170909,0.17090866,1.00145980,0.14597976
42,1.00027021,0.02702144,1.00099261,0.09926146,1.00197354,0.19735390,1.00166929,0.16692934
43,1.00082398,0.08239846,1.00068671,0.06867092,1.00227812,0.22781153,1.00121511,0.12151061
44,1.00137771,0.13777067,1.00053606,0.05360620,1.00187879,0.18787924,1.00134073,0.13407293
45,1.00163905,0.16390455,1.00059969,0.05996856,1.00237474,0.23747356,1.00115755,0.11575547
46,1.00162836,0.16283578,1.00070493,0.07049321,1.00221680,0.22167983,1.00062110,0.06210987
47,1.00132746,0.13274576,1.00075319,0.07531856,1.00131264,0.13126412,1.00017498,0.01749810
