wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,47079,59.60753944,50.55018108,0.22759499,0.24187658,0.37655251,raw_reference
1,47048,59.24223945,50.13873174,0.23514887,0.30134664,0.41938637,raw_reference
2,47066,59.25144333,50.26387401,0.25302950,0.34261806,0.49706670,raw_reference
3,47045,59.24136789,50.12433234,0.28981640,0.45708100,0.98971495,raw_reference
0,47079,59.60753236,50.54264776,0.21795678,0.20384077,0.35049799,phase_corrected
1,47048,59.24222069,50.11002650,0.19038211,0.18922673,0.33646716,phase_corrected
2,47066,59.25142039,50.24466835,0.21313395,0.19979652,0.39188964,phase_corrected
3,47045,59.24134170,50.08804042,0.26441132,0.42730617,0.97381639,phase_corrected
0,47079,59.39675512,50.86446237,2.06412050,2.11445199,2.37674327,reference_compensation_on
1,47048,58.94528506,50.71174582,2.42598247,2.93523241,3.23740741,reference_compensation_on
2,47066,59.01973505,50.60881264,2.12905128,2.34176127,2.91297517,reference_compensation_on
3,47045,58.90360677,50.78881036,2.50303176,3.25018181,3.66884833,reference_compensation_on
0,47079,59.81572895,51.12270803,1.86582139,2.08412277,2.33941387,reference_plus_or_diagnostic
1,47048,59.53387409,51.09776282,2.25275300,2.87638288,3.17948643,reference_plus_or_diagnostic
2,47066,59.47971113,50.87434664,2.02533966,2.29253855,2.85437599,reference_plus_or_diagnostic
3,47045,59.57205316,51.19769000,2.39273409,3.17076063,3.58565514,reference_plus_or_diagnostic
