phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99923383,-0.07661692,1.00250456,0.25045575,1.00195421,0.19542139,1.00022687,0.02268679
1,0.99926763,-0.07323726,1.00241147,0.24114675,1.00144684,0.14468431,0.99944630,-0.05537000
2,0.99916118,-0.08388169,1.00214748,0.21474762,1.00069102,0.06910178,0.99930118,-0.06988225
3,0.99901602,-0.09839836,1.00195181,0.19518139,0.99935468,-0.06453168,0.99810920,-0.18907955
4,0.99899164,-0.10083578,1.00167409,0.16740915,0.99953419,-0.04658058,0.99819258,-0.18074213
5,0.99921448,-0.07855216,1.00136984,0.13698437,0.99859260,-0.14074020,0.99683554,-0.31644620
6,0.99935394,-0.06460553,1.00108265,0.10826528,0.99837866,-0.16213447,0.99590842,-0.40915837
7,0.99937662,-0.06233810,1.00115448,0.11544805,0.99851723,-0.14827700,0.99517605,-0.48239473
8,0.99953848,-0.04615221,1.00142686,0.14268579,0.99834361,-0.16563909,0.99500589,-0.49941078
9,0.99950455,-0.04954514,1.00160843,0.16084333,0.99927301,-0.07269945,0.99631498,-0.36850195
10,0.99973448,-0.02655237,1.00174697,0.17469692,0.99939666,-0.06033404,0.99714638,-0.28536212
11,1.00033920,0.03391999,1.00199802,0.19980172,0.99938168,-0.06183175,0.99810094,-0.18990629
12,1.00061327,0.06132680,1.00180590,0.18059037,1.00020434,0.02043438,0.99833569,-0.16643089
13,1.00096493,0.09649257,1.00166811,0.16681139,1.00065424,0.06542436,0.99725939,-0.27406104
14,1.00121700,0.12169978,1.00113391,0.11339050,1.00027934,0.02793436,0.99881700,-0.11830037
15,1.00153410,0.15340967,1.00007029,0.00702863,0.99962821,-0.03717859,0.99834222,-0.16577837
16,1.00155163,0.15516324,0.99950072,-0.04992761,1.00034042,0.03404155,0.99884514,-0.11548593
17,1.00136014,0.13601384,0.99885828,-0.11417192,1.00050597,0.05059671,0.99904064,-0.09593599
18,1.00068532,0.06853226,0.99861393,-0.13860686,1.00169037,0.16903662,0.99805693,-0.19430653
19,0.99992063,-0.00793673,0.99848633,-0.15136664,1.00184618,0.18461796,0.99788663,-0.21133665
20,0.99939804,-0.06019579,0.99838222,-0.16177828,1.00076462,0.07646244,0.99895889,-0.10411146
21,0.99915921,-0.08407936,0.99803563,-0.19643663,0.99999520,-0.00047990,0.99916925,-0.08307535
22,0.99940292,-0.05970816,0.99786953,-0.21304719,0.99958090,-0.04190978,1.00012972,0.01297172
23,0.99973291,-0.02670916,0.99763431,-0.23656949,1.00079961,0.07996131,0.99994151,-0.00584897
24,1.00018849,0.01884872,0.99783903,-0.21609661,0.99896637,-0.10336317,0.99905981,-0.09401861
25,1.00074743,0.07474350,0.99805830,-0.19417043,0.99929303,-0.07069702,0.99955463,-0.04453660
26,1.00092163,0.09216328,0.99837610,-0.16238983,0.99895899,-0.10410138,0.99957188,-0.04281154
27,1.00106266,0.10626598,0.99849374,-0.15062616,0.99939636,-0.06036382,1.00028316,0.02831643
28,1.00105634,0.10563384,0.99840144,-0.15985634,0.99690712,-0.30928807,1.00043202,0.04320236
29,1.00089625,0.08962538,0.99857798,-0.14220209,0.99929276,-0.07072381,1.00124924,0.12492355
30,1.00065994,0.06599448,0.99856877,-0.14312287,1.00340131,0.34013106,1.00245328,0.24532784
31,1.00035264,0.03526389,0.99879390,-0.12060966,0.99900191,-0.09980890,1.00285062,0.28506230
32,1.00012901,0.01290086,0.99872971,-0.12702887,0.99896938,-0.10306213,1.00273754,0.27375403
33,0.99986804,-0.01319638,0.99853332,-0.14666751,0.99840236,-0.15976372,1.00372150,0.37215046
34,0.99968820,-0.03118028,0.99848321,-0.15167906,0.99668211,-0.33178931,1.00304264,0.30426424
35,0.99983840,-0.01615998,0.99859300,-0.14069973,0.99738705,-0.26129480,1.00321510,0.32150955
36,1.00020041,0.02004104,0.99884916,-0.11508374,0.99782290,-0.21770971,1.00393485,0.39348458
37,1.00032760,0.03275995,0.99917326,-0.08267388,0.99886872,-0.11312785,1.00344195,0.34419473
38,1.00048017,0.04801689,0.99930598,-0.06940160,0.99883811,-0.11618860,1.00555515,0.55551511
39,1.00036009,0.03600862,0.99961634,-0.03836563,0.99963779,-0.03622054,1.00445668,0.44566817
40,0.99990707,-0.00929347,0.99996963,-0.00303748,1.00030210,0.03021016,1.00214090,0.21409008
41,0.99951985,-0.04801548,1.00015385,0.01538474,1.00110410,0.11040958,1.00240960,0.24096030
42,0.99928603,-0.07139721,1.00068255,0.06825466,1.00212500,0.21250045,1.00209516,0.20951580
43,0.99927492,-0.07250848,1.00090941,0.09094114,1.00239526,0.23952557,1.00145378,0.14537817
44,0.99923501,-0.07649930,1.00122786,0.12278576,1.00279026,0.27902595,1.00055288,0.05528811
45,0.99910769,-0.08923085,1.00139950,0.13994953,1.00244187,0.24418669,1.00027476,0.02747625
46,0.99918387,-0.08161302,1.00186868,0.18686789,1.00297275,0.29727501,1.00045149,0.04514891
47,0.99943615,-0.05638540,1.00225945,0.22594537,1.00288858,0.28885769,1.00051403,0.05140318
