time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,65.74322500,65.51337547,65.27280712,65.43472683
0.01000000,65.76205869,65.54138616,65.32231910,65.43172644
0.02000000,65.77274095,65.50921096,65.31675865,65.39794453
0.03000000,65.85797578,65.46409545,65.27555085,65.37992220
0.04000000,65.80044044,65.50220057,65.31955855,65.40750864
0.05000000,65.83751203,65.51880608,65.36074964,65.43076010
0.06000000,65.75636665,65.53554455,65.42559693,65.45583164
0.07000000,65.71360554,65.51598494,65.42264489,65.50897113
0.08000000,65.73952335,65.42644941,65.35870504,65.42210129
0.09000000,65.71076254,65.44488856,65.31693359,65.46916333
0.10000000,65.90191505,65.45068224,65.33096421,65.42698590
0.11000000,65.75739420,65.53990257,65.33875203,65.46673800
0.12000000,65.89086391,65.56366778,65.40596265,65.48692038
0.13000000,65.76514627,65.53761180,65.35363624,65.41639963
0.14000000,65.78011246,65.52337649,65.42957571,65.49748395
0.15000000,65.78779818,65.53638994,65.40193715,65.47736510
0.16000000,65.81880159,65.52887919,65.35697681,65.49562826
0.17000000,65.82277778,65.50009877,65.35331905,65.48726518
0.18000000,65.82088143,65.47883821,65.32603217,65.44972768
0.19000000,65.80593268,65.50247837,65.43307690,65.46647755
0.20000000,65.84180857,65.50240607,65.45653899,65.48281015
0.21000000,65.80790582,65.55087031,65.50387720,65.50467501
0.22000000,65.88713857,65.51416709,65.37636102,65.53496662
0.23000000,65.76617966,65.58838511,65.39169210,65.51125568
0.24000000,65.84166464,65.54849688,65.39500534,65.50882043
0.25000000,65.78603576,65.56842921,65.45868475,65.44058373
0.26000000,65.89731555,65.53531737,65.40899845,65.52740983
0.27000000,65.83453234,65.51161731,65.41064908,65.46965098
0.28000000,65.80216469,65.57996515,65.37233021,65.48661726
0.29000000,65.82690016,65.52871214,65.39559837,65.48289712
0.30000000,65.82375157,65.57295665,65.38137476,65.51127167
0.31000000,65.89183507,65.58187062,65.39307412,65.50640384
0.32000000,65.91705737,65.58133361,65.35618396,65.52300478
0.33000000,65.82550864,65.61450977,65.44759166,65.50423881
0.34000000,65.78118019,65.50698408,65.45455707,65.54012312
0.35000000,65.83205786,65.57134842,65.48397535,65.53255103
0.36000000,65.88237431,65.52549251,65.47325036,65.56472583
0.37000000,65.89367046,65.55867280,65.47186034,65.49262585
0.38000000,65.83906054,65.60606731,65.43005601,65.50141720
0.39000000,65.84841198,65.54846376,65.44818334,65.53458851
0.40000000,65.79467585,65.58772895,65.47322904,65.52306151
0.41000000,65.91364606,65.54768270,65.48675694,65.57410604
0.42000000,65.80583688,65.57807904,65.43648621,65.52998162
0.43000000,65.88145770,65.57148570,65.45214527,65.54458464
0.44000000,65.80588051,65.52639382,65.44944732,65.54067643
0.45000000,65.87075924,65.57218090,65.43353111,65.52771249
0.46000000,65.80811120,65.43082920,65.44230029,65.57512691
0.47000000,65.77577942,65.44295022,65.45345901,65.53413567
0.48000000,65.83360654,65.41536579,65.46867507,65.56596123
0.49000000,65.77092883,65.50862234,65.42016005,65.54948798
0.50000000,65.81231258,65.52228873,65.41472468,65.52198273
0.51000000,65.75824362,65.45100275,65.41260538,65.50384083
0.52000000,65.80137681,65.52190854,65.46362321,65.51870580
0.53000000,65.77846095,65.43350371,65.51101497,65.52256498
0.54000000,65.82230464,65.50270165,65.48436740,65.54141579
0.55000000,65.74272453,65.44388643,65.38993683,65.51552609
0.56000000,65.68587533,65.41989288,65.36522195,65.50723870
0.57000000,65.72732197,65.43836655,65.32345950,65.46261922
0.58000000,65.81476371,65.33978286,65.38310794,65.49246600
0.59000000,65.72743130,65.44174872,65.38443395,65.46674370
0.60000000,65.77785612,65.43265260,65.37983661,65.50649530
0.61000000,65.68114247,65.47195737,65.30786808,65.45556856
0.62000000,65.76413419,65.43149861,65.39031589,65.47783532
0.63000000,65.71534868,65.37246904,65.41497711,65.43798205
0.64000000,65.74738724,65.35194987,65.36346098,65.45616261
0.65000000,65.68955347,65.30401023,65.35332351,65.48070144
0.66000000,65.63258382,65.38084531,65.28041463,65.37119148
0.67000000,65.63766354,65.44365763,65.33509990,65.38137857
0.68000000,65.65009350,65.31960483,65.33901866,65.38478036
0.69000000,65.72650682,65.34833595,65.35341676,65.40021919
0.70000000,65.75880010,65.33745867,65.26559713,65.42400844
0.71000000,65.69470212,65.41765782,65.22180592,65.39360489
0.72000000,65.71842466,65.39758297,65.27116127,65.41714121
0.73000000,65.59984282,65.33242773,65.31533326,65.32248304
0.74000000,65.68990123,65.33230246,65.29150256,65.27850848
0.75000000,65.59386040,65.22451923,65.23440885,65.33240758
0.76000000,65.56917671,65.24068760,65.17048760,65.35568380
0.77000000,65.45316101,65.09288550,65.27825413,65.36510590
0.78000000,65.45818597,65.12338871,65.26404686,65.32201839
0.79000000,65.55391348,65.02226899,65.28868348,65.28500200
0.80000000,65.49063404,65.15641855,65.20607329,65.26239408
0.81000000,65.54659562,65.13690802,65.18647994,65.21070104
0.82000000,65.36723698,65.17373322,65.12959622,65.23258026
0.83000000,65.43154777,65.14644929,65.11979329,65.23075770
0.84000000,65.39427489,65.13405768,65.06268137,65.17928375
0.85000000,65.46864127,65.09623025,65.06147044,65.19232280
0.86000000,65.53241989,65.11763280,65.02696878,65.15543856
0.87000000,65.44037498,65.06691269,65.08843108,65.22125208
0.88000000,65.35898433,65.10575970,65.05309266,65.14570997
0.89000000,65.30638658,65.05904281,65.04214582,65.18385354
0.90000000,65.30775414,65.05579840,64.96333841,65.15869367
0.91000000,65.37679627,65.06859406,64.96166205,65.18551070
0.92000000,65.25762292,64.98550542,64.94232029,65.09591751
0.93000000,65.30019558,64.96605106,64.94889665,65.12878334
0.94000000,65.17461761,64.93109096,65.03465262,65.03427301
0.95000000,65.22544914,64.94374584,64.96925513,65.05807129
0.96000000,65.16478012,64.89757609,65.01708165,65.07008710
0.97000000,65.12400226,64.92925091,64.98900245,65.06149953
0.98000000,65.14410145,64.85704077,64.88682701,65.04800509
0.99000000,65.17590635,64.87733757,64.80687183,64.99818875
1.00000000,65.11341101,64.86562901,64.76871752,64.99864890
1.01000000,65.10404199,64.80724637,64.88965398,64.95617771
1.02000000,65.10783935,64.81402239,64.88902586,64.92100225
1.03000000,65.10796664,64.84628756,64.83863642,64.92983237
1.04000000,65.11815964,64.86913876,64.73700023,64.87081822
1.05000000,65.06043630,64.89206525,64.64253397,64.87151097
1.06000000,65.09537460,64.78421822,64.75564150,64.86262458
1.07000000,64.93898283,64.73744212,64.67091851,64.81252307
