time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,37.91849060,37.75223157,37.72872953,37.76840279
0.01000000,37.83064642,37.73187752,37.74678550,37.76929441
0.02000000,37.86075119,37.75910365,37.74290054,37.80683249
0.03000000,37.83323513,37.73116117,37.79379409,37.77836663
0.04000000,37.89639120,37.76654626,37.72257436,37.82355054
0.05000000,37.90907106,37.74064279,37.73076861,37.80413045
0.06000000,37.84893890,37.75857725,37.72240725,37.72990623
0.07000000,37.91200483,37.74102192,37.78024648,37.80770286
0.08000000,37.88175046,37.75228409,37.77330552,37.78095394
0.09000000,37.88191100,37.77403474,37.72063683,37.72767270
0.10000000,37.90651104,37.74555594,37.70122106,37.75142180
0.11000000,37.87109472,37.77800351,37.72277097,37.76247256
0.12000000,37.88503714,37.78576616,37.74873354,37.78750322
0.13000000,37.93122161,37.77590415,37.79494397,37.77731903
0.14000000,37.92861605,37.77753836,37.74714454,37.81306784
0.15000000,37.90635721,37.73885627,37.68299085,37.76620035
0.16000000,37.95878030,37.81722817,37.62885153,37.74195000
0.17000000,37.96126913,37.86201842,37.66185618,37.74411701
0.18000000,37.85194208,37.78940033,37.67726339,37.76458606
0.19000000,37.88369484,37.75872280,37.72041265,37.73499040
0.20000000,37.82985058,37.72672028,37.71771130,37.74063452
0.21000000,38.01496719,37.80235968,37.69651381,37.78424312
0.22000000,37.96883099,37.83224793,37.66988809,37.73261556
0.23000000,37.91314861,37.83064964,37.66809489,37.75951327
0.24000000,37.83965626,37.74535415,37.67220722,37.75574870
0.25000000,37.90672758,37.77220217,37.72373633,37.72433308
0.26000000,37.95321488,37.77204292,37.68803749,37.73202092
0.27000000,37.92304460,37.78011886,37.68567893,37.72889890
0.28000000,37.84558044,37.74250032,37.62663152,37.73241246
0.29000000,37.84335768,37.79098088,37.69832158,37.72354851
0.30000000,37.84034940,37.74143599,37.69803056,37.73431141
0.31000000,37.89528296,37.77944587,37.66331976,37.74880510
0.32000000,37.90915750,37.70580197,37.68682974,37.72497475
0.33000000,37.84744524,37.76069475,37.66048087,37.70574397
0.34000000,37.89177491,37.69621146,37.61455269,37.71877396
0.35000000,37.86440414,37.74852457,37.69983800,37.70423177
0.36000000,37.80048253,37.76978590,37.61792227,37.69621103
0.37000000,37.81239662,37.73927675,37.67631619,37.71474085
0.38000000,37.83597973,37.75072954,37.63828050,37.68932386
0.39000000,37.89050278,37.71136435,37.69323191,37.73683673
0.40000000,37.90324555,37.74271676,37.66329926,37.70779535
0.41000000,37.82821638,37.67386736,37.71438465,37.74088225
0.42000000,37.80777823,37.72428421,37.71485579,37.76783912
0.43000000,37.78837986,37.69947936,37.62288337,37.69237506
0.44000000,37.87839506,37.72489177,37.66014862,37.72879234
0.45000000,37.84483728,37.73475367,37.66145364,37.73732623
0.46000000,37.80716858,37.65851995,37.70519791,37.74042804
0.47000000,37.77538015,37.68171743,37.68848399,37.73844321
0.48000000,37.81195073,37.68102888,37.67758701,37.75191137
0.49000000,37.84380587,37.74242729,37.70203580,37.74671958
0.50000000,37.83078269,37.73052021,37.68901035,37.73560546
0.51000000,37.83403577,37.74274334,37.71422411,37.75866815
0.52000000,37.80898725,37.68305205,37.72837301,37.74465517
0.53000000,37.85430253,37.69488307,37.70285063,37.73121998
0.54000000,37.82799822,37.71934341,37.73342753,37.76899243
0.55000000,37.85895395,37.74921860,37.66929723,37.74955802
0.56000000,37.81811811,37.71396660,37.67900189,37.75176383
0.57000000,37.85592624,37.66466723,37.68458479,37.72404834
0.58000000,37.84156891,37.70508719,37.68010569,37.70838690
0.59000000,37.84906785,37.68685352,37.67355652,37.66639185
0.60000000,37.83023013,37.69485026,37.68674404,37.67589029
0.61000000,37.83495868,37.67652886,37.60374121,37.70077066
0.62000000,37.81930664,37.69157247,37.64337813,37.68222831
0.63000000,37.82299218,37.66734284,37.64230218,37.71912749
0.64000000,37.80401371,37.68379867,37.67109736,37.69323076
0.65000000,37.83977931,37.69743338,37.61454615,37.74081665
0.66000000,37.85204588,37.71566043,37.65579558,37.64095952
0.67000000,37.84786016,37.74582549,37.65825427,37.72247347
0.68000000,37.81548310,37.68435731,37.65920706,37.68867036
0.69000000,37.79247902,37.68988282,37.69139148,37.67726985
0.70000000,37.84408088,37.75941888,37.65612818,37.70803944
0.71000000,37.85018197,37.71871954,37.61715523,37.64656365
0.72000000,37.86959345,37.71211677,37.61580418,37.65289556
0.73000000,37.83379843,37.66377239,37.60721339,37.63951368
0.74000000,37.84643381,37.73512316,37.64651010,37.70859172
0.75000000,37.84620648,37.78312398,37.62969268,37.68807723
0.76000000,37.91295877,37.76841513,37.63384408,37.72489912
0.77000000,37.85729044,37.76922086,37.63501926,37.70538100
0.78000000,37.81643033,37.70626739,37.64822476,37.69252968
0.79000000,37.83971430,37.70402920,37.66197711,37.74902484
0.80000000,37.86537764,37.74870301,37.69076641,37.77065058
0.81000000,37.90802691,37.76497177,37.65609283,37.82517797
0.82000000,37.89125261,37.80369673,37.69324218,37.77931294
0.83000000,37.83443562,37.72811213,37.66139800,37.79249932
0.84000000,37.90335457,37.75048259,37.74444836,37.81269348
0.85000000,37.94763762,37.76665415,37.70706298,37.80200858
0.86000000,37.89895408,37.82079286,37.73385167,37.77944475
0.87000000,37.91101363,37.81569691,37.70164253,37.78001092
0.88000000,37.87614513,37.73982707,37.71775517,37.74370350
0.89000000,37.94412905,37.81684451,37.72580634,37.72956117
0.90000000,37.92664477,37.79925079,37.75419937,37.73689494
0.91000000,37.96235069,37.82730371,37.70537205,37.70826485
0.92000000,37.85636655,37.82255935,37.67500045,37.69885861
0.93000000,37.98747968,37.80117068,37.63012465,37.71150212
0.94000000,37.87477041,37.80111095,37.64207739,37.66931048
0.95000000,37.95099662,37.82556236,37.65050462,37.72644598
0.96000000,37.92755367,37.81424240,37.65796376,37.68591654
0.97000000,37.89933400,37.81203413,37.62347363,37.66233143
0.98000000,37.89538058,37.76058402,37.62322090,37.63263437
0.99000000,37.85997128,37.73014463,37.66521097,37.66723071
1.00000000,37.89165076,37.73753696,37.64220943,37.73921475
1.01000000,37.89939173,37.77900056,37.71783311,37.67206503
1.02000000,37.87272003,37.72648228,37.66679360,37.77721637
1.03000000,37.86230326,37.75659978,37.65212182,37.70588390
1.04000000,37.87142513,37.79565458,37.62859022,37.69651015
1.05000000,37.88818824,37.78197055,37.69095943,37.74229099
1.06000000,37.74897396,37.62351612,37.63235935,37.71901421
1.07000000,37.80323473,37.64746825,37.66689335,37.73857299
1.08000000,37.73905593,37.68506843,37.63672510,37.71926938
1.09000000,37.94955148,37.82501108,37.67357713,37.73518927
1.10000000,37.80630553,37.82556677,37.65421723,37.73615699
