time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,37.45034531,36.48846297,36.59516892,36.55160784
0.01000000,37.40341800,36.52399396,36.53919424,36.56932619
0.02000000,37.41530969,36.57479309,36.59858919,36.59047535
0.03000000,37.36856741,36.52203168,36.57326714,36.57693487
0.04000000,37.45033799,36.56401497,36.60380088,36.62283411
0.05000000,37.42977241,36.53668337,36.57886678,36.57844130
0.06000000,37.48903815,36.56389671,36.60688502,36.55531551
0.07000000,37.41806193,36.58562377,36.57968853,36.53885379
0.08000000,37.52792297,36.61509621,36.63516216,36.56753096
0.09000000,37.43782215,36.58672499,36.62097247,36.57263341
0.10000000,37.50428741,36.64859034,36.62929935,36.59746162
0.11000000,37.49064619,36.55943041,36.64477635,36.58236464
0.12000000,37.51093862,36.67902541,36.59447131,36.58751000
0.13000000,37.54333271,36.62369256,36.62652246,36.61385431
0.14000000,37.45688879,36.63249770,36.62195662,36.59785599
0.15000000,37.49518435,36.58356027,36.64593237,36.61927240
0.16000000,37.56031254,36.66486914,36.67398569,36.65760521
0.17000000,37.59576114,36.66438450,36.66012263,36.58442616
0.18000000,37.56603106,36.63301774,36.62103070,36.66556273
0.19000000,37.53577800,36.66014358,36.68837234,36.61784592
0.20000000,37.54075238,36.61706238,36.62477275,36.66666365
0.21000000,37.60149282,36.68194024,36.70682568,36.66324776
0.22000000,37.58190722,36.71858604,36.66427163,36.67343159
0.23000000,37.58149561,36.70375094,36.67869890,36.61635980
0.24000000,37.57702755,36.71544773,36.61523251,36.56593859
0.25000000,37.63842600,36.74931550,36.74697693,36.64591533
0.26000000,37.64473740,36.60114130,36.65936088,36.62245178
0.27000000,37.63913531,36.63261144,36.73218324,36.64210427
0.28000000,37.62211086,36.76170275,36.68595405,36.67126602
0.29000000,37.63531684,36.75807137,36.73811641,36.67315892
0.30000000,37.57252453,36.79965593,36.68264851,36.66940676
0.31000000,37.65555407,36.76020701,36.75187043,36.69002568
0.32000000,37.66881389,36.68502951,36.69035705,36.61157264
0.33000000,37.65670392,36.75079678,36.73227402,36.71246542
