time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,37.73589943,37.70893328,37.62661897,37.69339724
0.01000000,37.78582920,37.75621747,37.60729923,37.70438609
0.02000000,37.77792950,37.65910810,37.61793597,37.72573298
0.03000000,37.77461152,37.63128987,37.64329591,37.71186029
0.04000000,37.80895674,37.75968726,37.62173906,37.72947000
0.05000000,37.80458730,37.66077842,37.61988262,37.72632243
0.06000000,37.86905721,37.74254718,37.62347702,37.66976154
0.07000000,37.72767499,37.64207769,37.67693519,37.66490608
0.08000000,37.75910788,37.68557071,37.66906053,37.69410803
0.09000000,37.77115848,37.79872153,37.63756771,37.74226994
0.10000000,37.88856480,37.75942100,37.71677474,37.76963755
0.11000000,37.89391155,37.76593272,37.69739074,37.74067382
0.12000000,37.89894725,37.69760784,37.73341867,37.74350711
0.13000000,37.85631123,37.69635700,37.69819791,37.68305831
0.14000000,37.82812903,37.72825040,37.69708111,37.77027913
0.15000000,37.86748854,37.78974161,37.63571321,37.65911344
0.16000000,37.84698623,37.84124963,37.66943171,37.65062626
0.17000000,37.94574255,37.78120435,37.65911809,37.72891097
0.18000000,37.88240188,37.61236682,37.66033721,37.68894972
0.19000000,37.90586430,37.80187400,37.63239776,37.68366621
0.20000000,37.79436095,37.70528549,37.65786729,37.78158217
0.21000000,37.91431425,37.86306606,37.64591084,37.65471028
0.22000000,37.88198645,37.78793505,37.63860646,37.67438763
0.23000000,37.94007995,37.73773184,37.66132302,37.65170214
0.24000000,37.96601225,37.70292931,37.62544122,37.68150868
0.25000000,37.86153046,37.70366753,37.63254098,37.64387316
0.26000000,37.91112032,37.80255814,37.64200436,37.68177571
0.27000000,37.79886674,37.76471951,37.65678800,37.71112294
0.28000000,37.91834545,37.76165299,37.61633626,37.59542669
0.29000000,37.85272250,37.79135453,37.70375567,37.78416715
0.30000000,37.96545992,37.67213248,37.66627683,37.61359720
0.31000000,37.83492277,37.75229016,37.66447678,37.62878327
0.32000000,37.81850120,37.75219894,37.54699720,37.63740495
0.33000000,37.84719530,37.69488198,37.53811702,37.62733313
0.34000000,37.83359218,37.69126233,37.58681668,37.71064861
0.35000000,37.87342187,37.72388918,37.65597664,37.75184404
0.36000000,37.83441519,37.68018979,37.65546697,37.71861064
0.37000000,37.78597639,37.77576336,37.66924067,37.74933140
0.38000000,37.79005876,37.68465027,37.62932473,37.70121497
0.39000000,37.85080032,37.74101364,37.67415290,37.79019950
0.40000000,37.86232386,37.63754556,37.67244040,37.71759975
0.41000000,37.81667308,37.79303036,37.72874493,37.80819451
0.42000000,37.76786784,37.66586131,37.73950579,37.86505636
0.43000000,37.78169040,37.63336615,37.63515081,37.64449465
0.44000000,37.85789523,37.64695267,37.72296796,37.85273486
0.45000000,37.84824862,37.72741620,37.60775928,37.75317416
0.46000000,37.79995842,37.80485149,37.67798738,37.76642333
0.47000000,37.77722702,37.69090875,37.63544921,37.79687819
0.48000000,37.79823205,37.72857826,37.73913777,37.70116203
0.49000000,37.88715818,37.63424715,37.69086252,37.78604245
0.50000000,37.89501824,37.70760181,37.69528689,37.73022593
0.51000000,37.80764992,37.72202796,37.70673166,37.75154308
0.52000000,37.78519726,37.74584837,37.62760740,37.76198134
0.53000000,37.78915268,37.74327614,37.72296915,37.71181151
0.54000000,37.86622070,37.68741063,37.70881317,37.78030371
0.55000000,37.87535413,37.70413698,37.74645813,37.78071317
0.56000000,37.85876209,37.68472614,37.72100345,37.69137845
0.57000000,37.88173398,37.84490191,37.66974017,37.78384121
0.58000000,37.83233229,37.75939107,37.75574821,37.67240207
0.59000000,37.87403753,37.78789366,37.69534106,37.69894632
0.60000000,37.87030413,37.71585408,37.74551382,37.71165401
0.61000000,37.89391899,37.70787841,37.70285478,37.74430770
0.62000000,37.91359322,37.80305732,37.67191347,37.75440890
0.63000000,37.89767451,37.82726233,37.70180944,37.71214294
0.64000000,37.88935116,37.75370146,37.70431762,37.82854061
0.65000000,37.92164977,37.79339781,37.70062092,37.67720910
0.66000000,37.98250805,37.75390248,37.73099713,37.77935539
0.67000000,37.94322431,37.74300919,37.67356175,37.72714403
0.68000000,37.92831116,37.81323360,37.68508064,37.67442391
0.69000000,37.89887954,37.78372251,37.72998373,37.70537255
0.70000000,37.88188780,37.80311390,37.65784914,37.73792926
0.71000000,37.89601495,37.80486295,37.67845220,37.74520516
0.72000000,37.79441550,37.75527611,37.68192921,37.72495996
