time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,38.02379922,37.85342754,37.73822416,37.77579600
0.01000000,37.95508726,37.89400345,37.71597212,37.82877190
0.02000000,37.89528601,37.82986875,37.72790114,37.78010626
0.03000000,37.99466884,37.83911739,37.70195543,37.80678834
0.04000000,37.91661364,37.78935281,37.76464453,37.83290982
0.05000000,37.99788003,37.79710643,37.73341849,37.79808171
0.06000000,37.86115734,37.86742690,37.78882198,37.88446661
0.07000000,37.90618697,37.81320483,37.79496514,37.81380995
0.08000000,37.92798916,37.81383697,37.78388328,37.86986883
0.09000000,38.00809677,37.83608266,37.72736397,37.80190910
0.10000000,37.96907779,37.83968232,37.67356949,37.79690378
0.11000000,37.87642914,37.83649214,37.71469568,37.83513956
0.12000000,37.87187565,37.79618413,37.75145339,37.83168496
0.13000000,37.94438237,37.85125425,37.76695085,37.84222732
0.14000000,37.98612766,37.77777731,37.77667723,37.83938181
0.15000000,37.94574255,37.82291311,37.75439303,37.88241256
0.16000000,37.89704159,37.79685147,37.70101172,37.84254250
0.17000000,37.89233999,37.83542663,37.76966548,37.86531168
0.18000000,37.93523467,37.83654251,37.77703194,37.82414478
0.19000000,37.95763496,37.81484191,37.79787844,37.81663582
0.20000000,37.94859121,37.80602571,37.78476825,37.84380991
0.21000000,37.92457829,37.79582464,37.75231688,37.79506094
0.22000000,37.93302588,37.79870793,37.81258768,37.86443260
0.23000000,37.96040223,37.79515061,37.82942943,37.82726447
0.24000000,37.95881584,37.78299718,37.83484615,37.81797094
0.25000000,37.97065702,37.82549577,37.85057878,37.83579690
0.26000000,37.93667675,37.81227922,37.79835746,37.83714933
0.27000000,37.95421351,37.89251870,37.83343462,37.81377664
0.28000000,37.94158326,37.78738961,37.87469317,37.83810712
0.29000000,37.98822996,37.82975877,37.83213244,37.82334605
0.30000000,37.96935371,37.78372364,37.86318489,37.80732999
0.31000000,37.98620190,37.90145642,37.79241920,37.81071659
0.32000000,37.93958733,37.84612454,37.78294631,37.77788250
0.33000000,37.96498125,37.84202029,37.78798377,37.80834868
0.34000000,37.91845735,37.83334146,37.80836635,37.80702816
0.35000000,38.02736148,37.81215807,37.78669121,37.87801762
0.36000000,37.92132304,37.85029125,37.75743194,37.86202261
0.37000000,37.96181107,37.84997091,37.72463372,37.77946135
0.38000000,37.91275932,37.81205034,37.76970665,37.84915104
0.39000000,37.96712830,37.80169830,37.74285602,37.78733135
0.40000000,37.97985841,37.83144544,37.71855441,37.83891198
0.41000000,37.94982065,37.86497143,37.70661242,37.81711027
0.42000000,37.93100980,37.79994839,37.67645829,37.83176842
0.43000000,37.92504241,37.80067678,37.69526752,37.84068758
0.44000000,37.95687831,37.77206626,37.69761322,37.84974364
0.45000000,37.95233711,37.77567884,37.69379205,37.87189299
0.46000000,37.94434625,37.84742042,37.71232304,37.83322952
0.47000000,37.90388722,37.87981195,37.68894076,37.79507311
0.48000000,37.94341467,37.84840206,37.70295888,37.79663482
0.49000000,37.93188950,37.75695964,37.73546918,37.77003622
0.50000000,37.91281332,37.78051294,37.71657201,37.82656012
0.51000000,37.93889008,37.77034919,37.73403992,37.79701772
0.52000000,37.92833362,37.84808873,37.72429886,37.82379411
0.53000000,37.93392164,37.84273876,37.76038197,37.79300333
0.54000000,37.92457650,37.80757791,37.73951260,37.78249844
0.55000000,37.92933753,37.77382039,37.81259048,37.75810895
0.56000000,37.86153040,37.75285720,37.80512669,37.81871925
0.57000000,37.92346406,37.79392088,37.80949999,37.78457149
0.58000000,37.91419959,37.80725207,37.86387040,37.82231796
0.59000000,37.99291795,37.83782386,37.79276654,37.83926138
0.60000000,37.91359305,37.79218924,37.85895026,37.81152481
0.61000000,37.95990534,37.79278728,37.77647173,37.82350789
0.62000000,37.95887902,37.79982108,37.82212217,37.80512331
0.63000000,37.98405686,37.81120529,37.80039454,37.80887906
0.64000000,37.93851708,37.81223014,37.82520786,37.82477666
0.65000000,37.92124521,37.82861107,37.79436726,37.80942080
0.66000000,37.99066263,37.80926555,37.76613840,37.83889140
0.67000000,38.03096975,37.84788544,37.77326294,37.77453203
0.68000000,38.02131857,37.82291902,37.75167708,37.78022459
0.69000000,37.89966934,37.80393612,37.76874460,37.75571791
0.70000000,37.88199253,37.84975684,37.73022584,37.74685038
0.71000000,37.93106579,37.83594059,37.77424733,37.79091110
