time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,38.07941170,38.04673674,37.93124206,38.02154623
0.01000000,38.07479380,37.96738218,37.92157277,38.00099817
0.02000000,38.13279645,37.97608478,37.91144105,37.98707988
0.03000000,38.08510233,38.02482255,37.92833882,37.99755879
0.04000000,38.14228140,38.00030510,37.90181180,37.99352061
0.05000000,38.04551648,38.00557847,37.92110232,37.97257846
0.06000000,38.11505147,37.94476518,37.93818460,37.98556146
0.07000000,38.06480873,37.99278810,37.87422247,37.96177329
0.08000000,38.13359354,37.93569706,37.93440546,37.99651157
0.09000000,38.10689914,38.03323980,37.87322053,37.95346669
0.10000000,38.08421917,37.97972802,37.93611214,38.00653549
0.11000000,38.05237954,37.98924756,37.92856211,37.97748802
0.12000000,38.05225388,38.06229593,37.99269495,37.99310995
0.13000000,38.13923876,37.98541295,37.86830777,38.01185721
0.14000000,38.08555176,37.97870181,37.85151997,37.97443678
0.15000000,38.15646689,38.01954217,37.82960505,37.98726191
0.16000000,38.00534854,37.97902835,37.82842206,37.96693428
0.17000000,38.08113438,37.99386806,37.92285739,37.98930653
0.18000000,37.99061345,38.01569402,37.79609367,37.95209510
0.19000000,38.16920794,38.03804580,37.89704457,37.95671968
0.20000000,38.06348938,37.95823949,37.70784881,38.00343301
0.21000000,38.08411684,37.96355939,37.90227511,37.96218025
0.22000000,38.00741344,37.97040539,37.83703631,37.97252209
0.23000000,38.07284415,37.95229516,37.89693986,37.99722480
0.24000000,38.06450527,38.01929449,37.90970961,37.95131956
0.25000000,38.04073075,37.94623104,37.87732952,38.01923701
0.26000000,38.08024799,37.96323046,37.92850999,37.97030604
0.27000000,38.04297869,37.95681522,37.94044713,38.04055218
0.28000000,38.08923062,37.97807744,37.96646356,38.04751256
0.29000000,38.06824113,37.99364478,37.94046994,38.06473644
0.30000000,38.06800845,37.95541031,37.92999315,38.03010911
0.31000000,38.05070503,38.00628859,37.91101533,38.02054763
0.32000000,38.07157196,37.93828411,37.92006083,38.02799713
