time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,38.04349165,37.81054702,37.67357229,37.71201603
0.01000000,37.91568342,37.74856190,37.67230029,37.72793246
0.02000000,37.88540566,37.78190084,37.62507784,37.70350697
0.03000000,37.86642446,37.76347729,37.69051634,37.72149877
0.04000000,37.88307099,37.85125425,37.63994343,37.73786686
0.05000000,37.95887900,37.75414539,37.71382141,37.70821284
0.06000000,37.91798071,37.71990200,37.68121996,37.73309192
0.07000000,37.90559385,37.69201522,37.67333753,37.71546685
0.08000000,37.84816966,37.76274894,37.64385261,37.73833295
0.09000000,37.84059564,37.77118240,37.64477603,37.71887957
0.10000000,37.82714729,37.74948589,37.65518759,37.71595684
0.11000000,37.88434367,37.71159180,37.72860413,37.73234900
0.12000000,37.89939571,37.75578210,37.72640965,37.73505231
0.13000000,37.86838308,37.74412116,37.68735065,37.73341035
0.14000000,37.78512179,37.62883267,37.65734713,37.73261753
0.15000000,37.74064402,37.71085537,37.68978018,37.70851171
0.16000000,37.81518748,37.69701600,37.69112452,37.75935984
0.17000000,37.89850074,37.76492754,37.70614477,37.73520734
0.18000000,37.88345444,37.72481433,37.68208849,37.77208452
0.19000000,37.84095256,37.71121942,37.72770707,37.78333544
0.20000000,37.80359445,37.70264181,37.68739284,37.80274529
0.21000000,37.82813166,37.76195269,37.70961334,37.77196628
0.22000000,37.84473778,37.77043742,37.62417347,37.79613357
0.23000000,37.88501688,37.74685108,37.67216190,37.71982908
0.24000000,37.80846156,37.68953610,37.67220885,37.78655921
0.25000000,37.89163427,37.76068671,37.72995269,37.70578385
0.26000000,37.87627518,37.78310326,37.69257956,37.74403856
0.27000000,37.88763308,37.78843458,37.68668048,37.79597278
0.28000000,37.84074387,37.70442900,37.67631178,37.76384694
0.29000000,37.83886192,37.72113035,37.70105045,37.83812747
0.30000000,37.89529124,37.72167502,37.76036785,37.83463288
0.31000000,37.90928931,37.79133189,37.74401964,37.79506600
