time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,38.48611516,38.37439739,38.41043246,38.37481440
0.01000000,38.48095065,38.34447195,38.41893567,38.38622619
0.02000000,38.56506572,38.30891976,38.38057740,38.35550815
0.03000000,38.52673120,38.39373879,38.35682442,38.39465355
0.04000000,38.52589992,38.45284489,38.32825463,38.43044184
0.05000000,38.48957835,38.48149718,38.28828441,38.41130628
0.06000000,38.52149204,38.38952120,38.36934123,38.39655845
0.07000000,38.56466783,38.30830094,38.36141299,38.43068337
0.08000000,38.62790888,38.45178782,38.31347128,38.36827934
0.09000000,38.54084750,38.42193994,38.33683015,38.41846642
0.10000000,38.54392736,38.47492744,38.29010138,38.38244320
0.11000000,38.56585727,38.41003261,38.37209464,38.38199574
0.12000000,38.63734619,38.43610763,38.38091434,38.41192198
0.13000000,38.63114498,38.42094297,38.35348320,38.40688834
0.14000000,38.57141520,38.49333405,38.33724983,38.44361844
0.15000000,38.56001268,38.45293627,38.39727159,38.43640810
0.16000000,38.60327891,38.48272065,38.41063542,38.39686385
0.17000000,38.64870382,38.43967619,38.39306400,38.36762064
0.18000000,38.64225982,38.45521982,38.37626498,38.38860411
0.19000000,38.55734494,38.35623892,38.34731944,38.35398678
0.20000000,38.55014544,38.42846119,38.31789925,38.35154543
0.21000000,38.60283461,38.35984668,38.33910420,38.39751198
0.22000000,38.55006761,38.53028027,38.37402038,38.34272204
0.23000000,38.61382734,38.47103778,38.37892862,38.40734123
0.24000000,38.56572091,38.49943754,38.38500310,38.38643175
0.25000000,38.65734575,38.40475957,38.33121231,38.36991971
0.26000000,38.59035966,38.43830505,38.35157821,38.38663464
0.27000000,38.66381817,38.50601848,38.37123547,38.38345696
0.28000000,38.49903597,38.44099830,38.32588372,38.41682982
0.29000000,38.52442921,38.47001610,38.37784990,38.39956539
0.30000000,38.51347489,38.40139610,38.37120229,38.51507658
0.31000000,38.57514622,38.40601506,38.34946711,38.41603191
0.32000000,38.57293204,38.39066411,38.39396305,38.46239871
0.33000000,38.55850533,38.38206227,38.35056824,38.43768973
0.34000000,38.51527662,38.38265899,38.32892238,38.42111974
0.35000000,38.51368574,38.43590685,38.34317352,38.37868918
0.36000000,38.58775698,38.43527672,38.31576275,38.38561106
0.37000000,38.50653953,38.41538367,38.33561774,38.43531692
0.38000000,38.48100544,38.34609405,38.32923174,38.40528908
0.39000000,38.48871426,38.34395805,38.34500107,38.39755261
0.40000000,38.50151753,38.33700206,38.43116122,38.50002859
0.41000000,38.53510461,38.38110126,38.40558566,38.43406508
0.42000000,38.51874632,38.37487297,38.38938355,38.50182346
0.43000000,38.48659504,38.37094859,38.39966085,38.40897513
0.44000000,38.49578117,38.40793822,38.35793221,38.42077620
0.45000000,38.55174916,38.37688856,38.37354976,38.33826286
0.46000000,38.48749807,38.45987997,38.28177414,38.33927777
0.47000000,38.53784024,38.34483372,38.34680421,38.38350116
0.48000000,38.48427919,38.41728296,38.28450195,38.34267297
0.49000000,38.53709066,38.36316422,38.40676730,38.38511454
0.50000000,38.48797481,38.40058683,38.39304980,38.31917681
0.51000000,38.55370010,38.36797303,38.41117314,38.44160092
0.52000000,38.51164358,38.40495680,38.44742480,38.40591355
0.53000000,38.49943693,38.36454908,38.33269847,38.40789889
0.54000000,38.50465647,38.40441387,38.36310527,38.44142785
0.55000000,38.53282263,38.38656514,38.38061743,38.39275231
0.56000000,38.52681064,38.42094992,38.39143402,38.39297452
0.57000000,38.54061711,38.40283161,38.33963675,38.38701204
0.58000000,38.48793792,38.42194506,38.33309262,38.35464526
0.59000000,38.58181621,38.35818435,38.26775066,38.40124400
0.60000000,38.55452923,38.45518262,38.32340587,38.39079186
0.61000000,38.56530380,38.37226384,38.33042860,38.40562146
0.62000000,38.49110665,38.40967687,38.29913309,38.41847358
0.63000000,38.51711576,38.38811034,38.31873200,38.39746269
0.64000000,38.53831577,38.43791793,38.34206500,38.41950491
0.65000000,38.60345388,38.43005613,38.35255187,38.34453179
0.66000000,38.48472172,38.38715827,38.33244922,38.38253516
0.67000000,38.52342485,38.38736441,38.38058145,38.32135569
0.68000000,38.46945262,38.35716216,38.28775865,38.43269992
0.69000000,38.57666531,38.40520120,38.37390986,38.38150922
0.70000000,38.56489633,38.47075183,38.30545305,38.43890802
0.71000000,38.55000237,38.36815235,38.33648099,38.38026891
0.72000000,38.35337608,38.35055355,38.30016894,38.36591629
0.73000000,38.44854774,38.39765431,38.32511227,38.36767916
0.74000000,38.44525072,38.43110438,38.26031252,38.38870804
0.75000000,38.67778227,38.43827640,38.28868309,38.37226342
0.76000000,38.56132170,38.38544227,38.28757248,38.41651839
0.77000000,38.56705057,38.38089195,38.31674227,38.33819556
0.78000000,38.47163663,38.40603994,38.29117040,38.38051783
0.79000000,38.51725906,38.50291005,38.36415836,38.41868447
0.80000000,38.48452453,38.39479370,38.29008300,38.42730458
0.81000000,38.49354826,38.38317892,38.34941650,38.35744614
0.82000000,38.53493078,38.34432056,38.27173227,38.40399991
0.83000000,38.55501139,38.34072149,38.36637694,38.36875275
0.84000000,38.50823324,38.40619011,38.30964498,38.38248114
0.85000000,38.45046248,38.37497067,38.34559881,38.40435976
0.86000000,38.54058465,38.40763897,38.30200390,38.37520823
0.87000000,38.45087592,38.40991769,38.38926263,38.38273347
0.88000000,38.59475062,38.39655994,38.34876487,38.38247352
0.89000000,38.49017542,38.39329685,38.42613964,38.41395545
0.90000000,38.53131081,38.39613851,38.36957655,38.43212411
0.91000000,38.48477681,38.37862870,38.35555713,38.37340240
0.92000000,38.58875517,38.40853844,38.33860106,38.44267399
0.93000000,38.56751943,38.44551937,38.46979801,38.40082714
0.94000000,38.58580499,38.43322814,38.40346099,38.41198619
0.95000000,38.48743798,38.45236019,38.54562709,38.50871878
0.96000000,38.49246883,38.43102572,38.30765988,38.39103920
0.97000000,38.58247128,38.44466681,38.29951702,38.38008848
0.98000000,38.61672142,38.44883991,38.24184354,38.38136874
0.99000000,38.57577528,38.27137775,38.31067781,38.32659956
1.00000000,38.49481139,38.40269690,38.32896573,38.31816229
1.01000000,38.50085433,38.41245775,38.33902230,38.39090498
1.02000000,38.55194288,38.51149414,38.31030955,38.37412369
1.03000000,38.55445723,38.42324688,38.35368796,38.41508165
1.04000000,38.54037879,38.36026862,38.34398861,38.43955883
1.05000000,38.56466534,38.34953595,38.37140157,38.40360365
1.06000000,38.58611036,38.42918206,38.36252323,38.44279170
1.07000000,38.53327046,38.48228159,38.33869227,38.39250693
1.08000000,38.50611197,38.41835077,38.34786629,38.36038191
1.09000000,38.52051485,38.36128931,38.26671358,38.40981358
1.10000000,38.58423305,38.37602258,38.36331426,38.34927013
1.11000000,38.61215130,38.45477503,38.29540591,38.44481891
1.12000000,38.54358643,38.41451716,38.32998465,38.42002178
1.13000000,38.53832195,38.39478509,38.32320690,38.40073933
1.14000000,38.52390033,38.40567056,38.36757445,38.38188500
1.15000000,38.60951840,38.44962312,38.34368548,38.35271646
1.16000000,38.54612033,38.43888962,38.36928347,38.36616104
1.17000000,38.53427345,38.43214666,38.41256554,38.40641358
1.18000000,38.52212516,38.35642133,38.33067370,38.41903525
1.19000000,38.62585354,38.42550739,38.39926682,38.46265581
1.20000000,38.56311529,38.40198870,38.36296277,38.51091229
1.21000000,38.57641273,38.47102756,38.41268413,38.43153690
1.22000000,38.55054838,38.39012831,38.46128659,38.49624194
1.23000000,38.56614271,38.42733502,38.41310055,38.42652964
1.24000000,38.63590193,38.45714294,38.38937995,38.37387351
1.25000000,38.56508663,38.44186081,38.36222157,38.45419921
1.26000000,38.61631743,38.45980694,38.38419583,38.40573312
1.27000000,38.55466166,38.42861915,38.38109151,38.40687987
1.28000000,38.58544176,38.40297444,38.42808751,38.46766498
1.29000000,38.64727507,38.42725402,38.41735109,38.43857487
1.30000000,38.59193930,38.43228810,38.46642924,38.43986865
1.31000000,38.64494841,38.49086813,38.42922486,38.42272834
1.32000000,38.56260638,38.46817021,38.40390927,38.39124005
1.33000000,38.67505489,38.43246508,38.41557446,38.44240561
1.34000000,38.56530993,38.43125969,38.37634302,38.38935855
1.35000000,38.65225625,38.43022949,38.43379014,38.40791270
1.36000000,38.58034584,38.51171835,38.42318785,38.41507133
1.37000000,38.62902154,38.50976625,38.45972773,38.36262346
1.38000000,38.65690990,38.47239038,38.41024689,38.33664059
1.39000000,38.61169847,38.35480721,38.38082576,38.39831110
1.40000000,38.60552075,38.43507096,38.35928381,38.39591815
1.41000000,38.58282211,38.48773747,38.37973691,38.45396687
1.42000000,38.63955144,38.53223669,38.38704873,38.38954679
1.43000000,38.62373890,38.48219042,38.38092809,38.40066678
1.44000000,38.59723092,38.44059053,38.37225195,38.40689337
1.45000000,38.62882397,38.39560250,38.33705531,38.43231298
1.46000000,38.60899518,38.47547635,38.45766707,38.44009840
1.47000000,38.63574702,38.46388962,38.38801578,38.39632486
1.48000000,38.53795494,38.43216794,38.45703844,38.41986186
1.49000000,38.61598048,38.39144089,38.39936803,38.43413032
1.50000000,38.61807187,38.46507801,38.33613709,38.44224411
1.51000000,38.59365072,38.42093632,38.44884905,38.49807988
1.52000000,38.54520036,38.43453213,38.32041073,38.46149985
1.53000000,38.54165841,38.43926566,38.47570539,38.44061558
1.54000000,38.60377561,38.42849576,38.38644528,38.45270982
1.55000000,38.64900119,38.39907351,38.45635761,38.40896155
1.56000000,38.54898448,38.41441431,38.36488950,38.49042990
1.57000000,38.56222167,38.39952738,38.40030144,38.41670706
1.58000000,38.51840288,38.46270121,38.38248040,38.43614626
1.59000000,38.54795477,38.43234412,38.35584077,38.41688241
1.60000000,38.54679057,38.48906782,38.41921636,38.49015928
1.61000000,38.56630474,38.40138198,38.35240704,38.45389527
1.62000000,38.61778565,38.41723858,38.39459630,38.48343437
1.63000000,38.36945113,38.45444033,38.38782229,38.41934899
1.64000000,38.65888735,38.34836246,38.37279802,38.36761211
1.65000000,38.48565167,38.48022350,38.39640801,38.42604427
1.66000000,38.67828311,38.38337153,38.36555090,38.40178456
1.67000000,38.51828954,38.36391671,38.37921652,38.40060797
1.68000000,38.50465015,38.36160186,38.35432184,38.47299413
1.69000000,38.50634358,38.41704751,38.43815538,38.42034379
1.70000000,38.56845549,38.47858673,38.40891746,38.43531399
1.71000000,38.57093114,38.37134784,38.45754319,38.40589213
1.72000000,38.53326205,38.42356713,38.37558203,38.44539644
1.73000000,38.52122412,38.34427048,38.40063937,38.39637762
1.74000000,38.52806389,38.44935530,38.39216398,38.45420494
1.75000000,38.55017038,38.42401536,38.40672672,38.45089062
1.76000000,38.52886392,38.37689176,38.36231947,38.45594535
1.77000000,38.52845990,38.39980030,38.39279790,38.44127866
1.78000000,38.56196482,38.46859425,38.37470272,38.49127960
