time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,37.93267499,37.79382379,37.80335955,37.81989959
0.01000000,37.91504385,37.80151354,37.81148036,37.84426116
0.02000000,38.00816205,37.80669988,37.83221653,37.85772315
0.03000000,38.01175255,37.86012354,37.82357427,37.86254390
0.04000000,37.99241693,37.79009243,37.82111872,37.86204098
0.05000000,37.93147781,37.82621265,37.82191057,37.82610450
0.06000000,37.95513163,37.83031888,37.81555059,37.82419437
0.07000000,38.00591011,37.83751734,37.83356875,37.81711246
0.08000000,37.95527848,37.86202537,37.83960369,37.85318060
0.09000000,37.96405709,37.79607207,37.88653495,37.88329473
0.10000000,37.93202298,37.84284175,37.83689762,37.86778966
0.11000000,38.01555740,37.85575152,37.75641159,37.82433779
0.12000000,38.08781358,37.87895866,37.80108252,37.84348992
0.13000000,38.03686296,37.86849021,37.76608725,37.79697717
0.14000000,37.99542820,37.85172062,37.80336036,37.85295389
0.15000000,37.93309505,37.89019831,37.78043797,37.83290098
0.16000000,38.03159450,37.89528908,37.82019095,37.83508204
0.17000000,38.02905717,37.91985997,37.77457100,37.84252154
0.18000000,38.05030247,37.81114177,37.85899265,37.84187133
0.19000000,38.02045788,37.81214005,37.77281942,37.86926981
0.20000000,38.00535739,37.78449449,37.84385894,37.86499182
0.21000000,38.03047960,37.84338416,37.81805603,37.90297291
0.22000000,38.01755341,37.89822899,37.82410787,37.83016362
0.23000000,38.00528306,37.89123453,37.80165139,37.85637579
0.24000000,38.00571058,37.85081855,37.74803228,37.83794775
0.25000000,38.04894331,37.84395855,37.78775183,37.83293157
0.26000000,38.01259517,37.81223068,37.75894138,37.82165615
0.27000000,38.00417065,37.84679025,37.81240792,37.83974631
0.28000000,37.94284445,37.86023525,37.78844190,37.81199826
0.29000000,37.98024846,37.83447512,37.82881935,37.78889200
0.30000000,37.96353744,37.84746699,37.83078449,37.83806278
0.31000000,38.04982664,37.89502555,37.78215130,37.79112088
0.32000000,38.01927077,37.81694949,37.79119317,37.79035020
0.33000000,37.96700034,37.83229624,37.71623584,37.79818127
0.34000000,37.96267753,37.79871617,37.75471753,37.75460254
0.35000000,37.91642309,37.80671326,37.73150991,37.76958084
0.36000000,37.94574753,37.79445184,37.79077809,37.74415090
0.37000000,37.95935342,37.80103229,37.79550232,37.76992084
0.38000000,37.95347581,37.77379306,37.76437034,37.77147060
0.39000000,37.95147908,37.83036010,37.76696242,37.79870959
0.40000000,37.92527057,37.82376106,37.70673181,37.84938939
0.41000000,37.93113390,37.82611719,37.78436319,37.84651008
0.42000000,37.89896200,37.74383447,37.78299043,37.89386036
0.43000000,37.94402537,37.81038145,37.78307460,37.86597401
0.44000000,37.93472057,37.79397445,37.80837702,37.86464515
0.45000000,37.91845233,37.80974325,37.76463621,37.83019147
0.46000000,37.91200402,37.79574080,37.82099283,37.85505927
0.47000000,37.95868659,37.78739215,37.78666092,37.86384300
0.48000000,37.96973953,37.77754323,37.81657318,37.88022635
0.49000000,37.94712582,37.78435307,37.78627148,37.83705754
0.50000000,37.90431105,37.83392324,37.83247925,37.88191397
0.51000000,37.92268616,37.83453445,37.83337612,37.84060241
0.52000000,37.92752321,37.84971912,37.83209435,37.80284673
0.53000000,37.97626459,37.77375147,37.79167596,37.85154097
0.54000000,37.97232006,37.76683204,37.79979197,37.80644609
0.55000000,37.98080479,37.77767300,37.74352299,37.83338568
0.56000000,37.97960283,37.82582343,37.83740218,37.88560235
0.57000000,37.95430781,37.87764086,37.81904588,37.84886836
0.58000000,37.94961963,37.82920732,37.82871473,37.84753696
0.59000000,37.96482970,37.81060784,37.79924145,37.84597171
0.60000000,38.02624981,37.84474769,37.77507684,37.81670582
0.61000000,38.07759696,37.85870177,37.78950130,37.78434611
0.62000000,37.96084765,37.83907724,37.76861802,37.75643004
0.63000000,37.97869549,37.86203021,37.79440873,37.77299376
0.64000000,37.97274711,37.85124468,37.78877098,37.77743510
0.65000000,38.03031653,37.81817798,37.77316750,37.80851454
0.66000000,38.01107710,37.82216599,37.77300568,37.78001142
0.67000000,37.95535836,37.80658109,37.77093986,37.78494682
0.68000000,37.96041785,37.85863205,37.75330735,37.78716448
0.69000000,37.98975457,37.80849118,37.75462586,37.79602839
0.70000000,37.99978108,37.89131893,37.72778873,37.78117890
0.71000000,37.98573610,37.77948271,37.74927886,37.79703331
0.72000000,37.92056503,37.77931229,37.73425316,37.74665929
0.73000000,37.95762333,37.81284152,37.76709008,37.77605341
0.74000000,37.92293961,37.80373618,37.73721710,37.77002568
0.75000000,37.96124924,37.82939585,37.71184242,37.79142850
0.76000000,37.90370601,37.80859484,37.71911624,37.82277217
0.77000000,37.94205471,37.81045361,37.67812463,37.83976309
0.78000000,37.92211912,37.74394719,37.73385167,37.78294279
0.79000000,37.96698696,37.78971591,37.73427214,37.81063509
0.80000000,37.94033660,37.79398956,37.73948528,37.80182625
0.81000000,37.92123981,37.78843689,37.74861920,37.77780539
0.82000000,37.91962597,37.78434142,37.68252588,37.77836421
0.83000000,37.91493428,37.78325697,37.70541040,37.75446871
0.84000000,37.88503792,37.78778239,37.72207387,37.76773211
0.85000000,37.90195492,37.78848158,37.72061178,37.77729408
0.86000000,37.88105388,37.75078770,37.77621835,37.83535490
0.87000000,37.95396141,37.73552124,37.70127312,37.79172742
0.88000000,37.93676251,37.75698662,37.77807239,37.83336554
0.89000000,37.93191472,37.81571916,37.76461410,37.82419504
0.90000000,37.88353095,37.84845357,37.79707899,37.84630507
0.91000000,37.89662640,37.82557274,37.79888308,37.79478278
0.92000000,37.91641799,37.76688462,37.75401633,37.85031360
0.93000000,37.94509908,37.77406795,37.81578041,37.85318293
0.94000000,37.89185062,37.76497177,37.81201483,37.79791287
0.95000000,37.77441772,37.79520308,37.82662983,37.86655879
0.96000000,37.98971566,37.78486172,37.81337379,37.85508899
0.97000000,37.96172520,37.74999648,37.82519308,37.82390013
0.98000000,38.08188378,37.84273933,37.76954396,37.84744426
